row	family	params	carrier	laws_satisfied
0	linear/Z_m	m=2 a=0 b=0	finite:2	1556
1	linear/Z_m	m=2 a=0 b=1	finite:2	1214
2	linear/Z_m	m=2 a=1 b=0	finite:2	1214
3	linear/Z_m	m=2 a=1 b=1	finite:2	663
4	linear/Z_m	m=3 a=0 b=2	finite:3	575
5	linear/Z_m	m=3 a=1 b=1	finite:3	60
6	linear/Z_m	m=3 a=1 b=2	finite:3	179
7	linear/Z_m	m=3 a=2 b=0	finite:3	575
8	linear/Z_m	m=3 a=2 b=1	finite:3	179
9	linear/Z_m	m=3 a=2 b=2	finite:3	382
10	linear/Z_m	m=4 a=0 b=2	finite:4	261
11	linear/Z_m	m=4 a=1 b=1	finite:4	116
12	linear/Z_m	m=4 a=1 b=2	finite:4	155
13	linear/Z_m	m=4 a=1 b=3	finite:4	169
14	linear/Z_m	m=4 a=2 b=0	finite:4	261
15	linear/Z_m	m=4 a=2 b=1	finite:4	155
16	linear/Z_m	m=4 a=2 b=2	finite:4	161
17	linear/Z_m	m=4 a=2 b=3	finite:4	317
18	linear/Z_m	m=4 a=3 b=1	finite:4	169
19	linear/Z_m	m=4 a=3 b=2	finite:4	317
20	linear/Z_m	m=4 a=3 b=3	finite:4	294
21	linear/Z_m	m=5 a=0 b=2	finite:5	228
22	linear/Z_m	m=5 a=1 b=1	finite:5	32
23	linear/Z_m	m=5 a=1 b=2	finite:5	38
24	linear/Z_m	m=5 a=1 b=3	finite:5	27
25	linear/Z_m	m=5 a=1 b=4	finite:5	163
26	linear/Z_m	m=5 a=2 b=0	finite:5	228
27	linear/Z_m	m=5 a=2 b=1	finite:5	38
28	linear/Z_m	m=5 a=2 b=2	finite:5	90
29	linear/Z_m	m=5 a=2 b=3	finite:5	56
30	linear/Z_m	m=5 a=2 b=4	finite:5	177
31	linear/Z_m	m=5 a=3 b=1	finite:5	27
32	linear/Z_m	m=5 a=3 b=2	finite:5	56
33	linear/Z_m	m=5 a=3 b=3	finite:5	176
34	linear/Z_m	m=5 a=3 b=4	finite:5	81
35	linear/Z_m	m=5 a=4 b=1	finite:5	163
36	linear/Z_m	m=5 a=4 b=2	finite:5	177
37	linear/Z_m	m=5 a=4 b=3	finite:5	81
38	linear/Z_m	m=6 a=0 b=2	finite:6	228
39	linear/Z_m	m=6 a=0 b=3	finite:6	399
40	linear/Z_m	m=6 a=1 b=2	finite:6	81
41	linear/Z_m	m=6 a=1 b=3	finite:6	233
42	linear/Z_m	m=6 a=1 b=4	finite:6	23
43	linear/Z_m	m=6 a=2 b=0	finite:6	228
44	linear/Z_m	m=6 a=2 b=1	finite:6	81
45	linear/Z_m	m=6 a=2 b=2	finite:6	124
46	linear/Z_m	m=6 a=2 b=3	finite:6	165
47	linear/Z_m	m=6 a=2 b=4	finite:6	69
48	linear/Z_m	m=6 a=2 b=5	finite:6	154
49	linear/Z_m	m=6 a=3 b=0	finite:6	399
50	linear/Z_m	m=6 a=3 b=1	finite:6	233
51	linear/Z_m	m=6 a=3 b=2	finite:6	165
52	linear/Z_m	m=6 a=3 b=3	finite:6	221
53	linear/Z_m	m=6 a=3 b=4	finite:6	353
54	linear/Z_m	m=6 a=3 b=5	finite:6	110
55	linear/Z_m	m=6 a=4 b=1	finite:6	23
56	linear/Z_m	m=6 a=4 b=2	finite:6	69
57	linear/Z_m	m=6 a=4 b=4	finite:6	35
58	linear/Z_m	m=6 a=4 b=5	finite:6	73
